Month-Year,Yield Type,Trend Score
1-2018,Radish,46
1-2018,Onion,64
1-2018,Pumpkin,30
1-2018,Cowpea,46
1-2018,Leak,77
1-2018,Cocoa,29
1-2018,Ginger,65
1-2018,Cowpea,51
1-2018,Garlic,49
1-2018,Cowpea,30
1-2018,Leak,79
1-2018,Chilies,64
1-2018,Cardamon,52
1-2018,Onion,60
1-2018,Ginger,50
1-2018,Pumpkin,26
1-2018,Chilies,61
1-2018,Garlic,40
1-2018,Cardamon,49
1-2018,Potato,49
1-2018,Ginger,34
1-2018,Potato,66
1-2018,Onion,10
1-2018,Cowpea,58
1-2018,Potato,25
1-2018,Pepper,44
1-2018,Corn,16
1-2018,Onion,22
1-2018,Corn,66
1-2018,Corn,52
1-2018,Pumpkin,51
1-2018,Garlic,58
1-2018,Chilies,43
1-2018,Pumpkin,64
1-2018,Potato,60
1-2018,Chilies,65
1-2018,Cowpea,37
1-2018,Chilies,53
1-2018,Tomato,90
1-2018,Pumpkin,10
1-2018,Radish,63
1-2018,Tomato,95
1-2018,Onion,11
1-2018,Tomato,98
1-2018,Pumpkin,46
1-2018,Pepper,32
1-2018,Corn,24
1-2018,Cardamon,11
1-2018,Pumpkin,13
1-2018,Tomato,87
1-2018,Pumpkin,38
1-2018,Tomato,91
1-2018,Onion,36
1-2018,Tomato,72
1-2018,Pumpkin,28
1-2018,Cardamon,60
1-2018,Garlic,29
1-2018,Potato,51
1-2018,Ginger,34
1-2018,Pepper,14
1-2018,Corn,12
1-2018,Pepper,27
1-2018,Corn,41
1-2018,Tomato,76
1-2018,Ginger,45
1-2018,Corn,70
1-2018,Garlic,51
1-2018,Leak,83
1-2018,Radish,53
1-2018,Tomato,73
1-2018,Pumpkin,69
1-2018,Leak,89
1-2018,Cocoa,63
1-2018,Pepper,16
1-2018,Pumpkin,31
1-2018,Onion,38
1-2018,Leak,78
1-2018,Ginger,15
1-2018,Potato,20
1-2018,Chilies,48
1-2018,Potato,61
1-2018,Cardamon,70
1-2018,Tomato,95
1-2018,Potato,40
1-2018,Leak,88
1-2018,Cowpea,14
1-2018,Chilies,63
1-2018,Leak,85
1-2018,Leak,84
1-2018,Corn,33
1-2018,Garlic,50
1-2018,Chilies,44
1-2018,Tomato,86
1-2018,Pumpkin,56
1-2018,Onion,43
1-2018,Corn,56
1-2018,Pumpkin,12
1-2018,Cocoa,49
1-2018,Leak,100
1-2018,Chilies,43
1-2018,Radish,61
1-2018,Pumpkin,34
1-2018,Cardamon,41
1-2018,Ginger,36
1-2018,Leak,80
1-2018,Cowpea,65
1-2018,Cowpea,28
1-2018,Cardamon,41
1-2018,Ginger,64
1-2018,Pumpkin,61
1-2018,Potato,65
1-2018,Cocoa,60
1-2018,Ginger,50
1-2018,Ginger,65
1-2018,Onion,25
1-2018,Cowpea,41
1-2018,Potato,35
1-2018,Radish,12
1-2018,Tomato,94
1-2018,Leak,89
1-2018,Pumpkin,10
1-2018,Pumpkin,24
1-2018,Radish,14
1-2018,Onion,60
1-2018,Leak,75
1-2018,Radish,68
1-2018,Cowpea,69
1-2018,Garlic,18
1-2018,Onion,53
1-2018,Potato,34
1-2018,Tomato,94
1-2018,Leak,87
1-2018,Pumpkin,48
1-2018,Radish,28
1-2018,Cocoa,36
1-2018,Chilies,29
1-2018,Onion,31
1-2018,Corn,40
1-2018,Cardamon,37
1-2018,Onion,31
1-2018,Cowpea,21
1-2018,Potato,11
1-2018,Garlic,35
1-2018,Leak,95
1-2018,Corn,50
1-2018,Potato,48
1-2018,Cardamon,32
1-2018,Corn,18
1-2018,Leak,90
1-2018,Garlic,43
1-2018,Corn,57
1-2018,Pepper,47
1-2018,Cowpea,68
1-2018,Cocoa,27
1-2018,Tomato,97
1-2018,Garlic,20
1-2018,Potato,56
1-2018,Cocoa,65
1-2018,Pumpkin,64
1-2018,Garlic,32
1-2018,Leak,97
1-2018,Chilies,47
1-2018,Ginger,46
1-2018,Chilies,31
1-2018,Tomato,93
1-2018,Ginger,16
1-2018,Cocoa,60
1-2018,Pumpkin,21
1-2018,Onion,54
1-2018,Onion,62
1-2018,Garlic,22
1-2018,Cardamon,63
1-2018,Pepper,52
1-2018,Corn,17
1-2018,Tomato,86
1-2018,Cowpea,65
1-2018,Pepper,39
1-2018,Garlic,64
1-2018,Potato,38
1-2018,Garlic,30
1-2018,Potato,35
1-2018,Leak,93
1-2018,Pepper,23
1-2018,Leak,72
1-2018,Onion,53
1-2018,Potato,32
1-2018,Leak,92
1-2018,Tomato,98
1-2018,Cowpea,35
1-2018,Radish,47
1-2018,Corn,38
1-2018,Pumpkin,56
1-2018,Corn,28
1-2018,Radish,22
1-2018,Garlic,29
1-2018,Potato,53
1-2018,Pumpkin,47
1-2018,Potato,41
1-2018,Radish,21
1-2018,Pumpkin,20
1-2018,Corn,55
1-2018,Garlic,11
1-2018,Pumpkin,59
1-2018,Pumpkin,12
1-2018,Cocoa,15
1-2018,Tomato,71
1-2018,Tomato,95
1-2018,Onion,54
1-2018,Pepper,41
1-2018,Radish,69
1-2018,Cardamon,32
1-2018,Garlic,51
1-2018,Garlic,49
1-2018,Potato,22
1-2018,Radish,39
1-2018,Cowpea,60
1-2018,Leak,78
1-2018,Cowpea,17
1-2018,Pepper,26
1-2018,Garlic,10
1-2018,Tomato,86
1-2018,Onion,14
1-2018,Potato,68
1-2018,Pumpkin,11
1-2018,Cowpea,46
1-2018,Cardamon,70
1-2018,Potato,21
1-2018,Cowpea,69
1-2018,Leak,75
1-2018,Cowpea,21
1-2018,Corn,46
1-2018,Radish,55
1-2018,Corn,68
1-2018,Ginger,52
1-2018,Cardamon,29
1-2018,Cardamon,42
1-2018,Garlic,59
1-2018,Chilies,61
1-2018,Leak,93
1-2018,Potato,18
1-2018,Chilies,44
1-2018,Garlic,52
1-2018,Corn,31
1-2018,Pepper,45
1-2018,Pepper,60
1-2018,Cardamon,36
1-2018,Chilies,16
1-2018,Garlic,18
1-2018,Garlic,43
1-2018,Potato,53
1-2018,Radish,61
1-2018,Onion,11
1-2018,Onion,24
1-2018,Chilies,68
1-2018,Ginger,19
1-2018,Pepper,59
1-2018,Onion,45
1-2018,Radish,22
1-2018,Cardamon,44
1-2018,Leak,96
1-2018,Cocoa,70
1-2018,Corn,70
1-2018,Tomato,98
1-2018,Cowpea,49
1-2018,Garlic,14
1-2018,Garlic,49
1-2018,Tomato,87
1-2018,Leak,75
1-2018,Chilies,39
1-2018,Pumpkin,16
1-2018,Radish,16
1-2018,Radish,50
1-2018,Cardamon,70
1-2018,Pumpkin,47
1-2018,Cocoa,64
1-2018,Corn,37
1-2018,Onion,42
1-2018,Onion,64
1-2018,Chilies,57
1-2018,Pepper,40
1-2018,Ginger,25
1-2018,Corn,31
1-2018,Ginger,24
1-2018,Pumpkin,24
1-2018,Pumpkin,29
1-2018,Pepper,66
1-2018,Ginger,29
1-2018,Corn,45
1-2018,Cardamon,54
1-2018,Onion,15
1-2018,Cardamon,38
1-2018,Onion,26
1-2018,Cowpea,61
1-2018,Chilies,46
1-2018,Garlic,22
1-2018,Tomato,96
1-2018,Potato,49
1-2018,Chilies,57
1-2018,Garlic,31
1-2018,Pumpkin,35
1-2018,Radish,15
1-2018,Leak,74
1-2018,Radish,28
1-2018,Pepper,33
1-2018,Potato,39
1-2018,Tomato,83
1-2018,Ginger,59
1-2018,Radish,68
1-2018,Tomato,94
1-2018,Cocoa,11
1-2018,Pepper,70
1-2018,Onion,22
1-2018,Pumpkin,36
1-2018,Ginger,38
1-2018,Onion,12
1-2018,Cowpea,23
1-2018,Radish,24
1-2018,Leak,88
1-2018,Cocoa,68
1-2018,Ginger,17
1-2018,Tomato,92
1-2018,Tomato,97
1-2018,Corn,12
1-2018,Cowpea,14
1-2018,Ginger,21
1-2018,Pumpkin,24
1-2018,Leak,78
1-2018,Onion,40
1-2018,Pepper,29
1-2018,Onion,28
1-2018,Cowpea,13
1-2018,Cowpea,18
1-2018,Ginger,59
1-2018,Corn,62
1-2018,Ginger,24
1-2018,Cowpea,19
1-2018,Onion,51
1-2018,Ginger,62
1-2018,Radish,23
1-2018,Cardamon,26
1-2018,Leak,79
1-2018,Cowpea,18
1-2018,Cocoa,57
1-2018,Leak,74
1-2018,Onion,10
1-2018,Radish,10
1-2018,Onion,11
1-2018,Pumpkin,66
1-2018,Cowpea,65
1-2018,Potato,31
1-2018,Onion,17
1-2018,Chilies,62
1-2018,Leak,90
1-2018,Garlic,32
1-2018,Chilies,25
1-2018,Potato,24
1-2018,Leak,92
1-2018,Corn,63
1-2018,Pepper,10
1-2018,Pepper,32
1-2018,Onion,29
1-2018,Leak,84
1-2018,Leak,71
1-2018,Corn,49
1-2018,Pumpkin,70
1-2018,Cowpea,34
1-2018,Potato,24
1-2018,Leak,100
1-2018,Corn,24
1-2018,Garlic,24
1-2018,Onion,36
1-2018,Corn,53
1-2018,Ginger,27
1-2018,Corn,40
1-2018,Potato,53
1-2018,Corn,52
1-2018,Corn,14
1-2018,Cocoa,17
1-2018,Chilies,54
1-2018,Cocoa,28
1-2018,Corn,30
1-2018,Ginger,20
1-2018,Ginger,60
1-2018,Onion,10
1-2018,Potato,45
1-2018,Cocoa,30
1-2018,Tomato,98
1-2018,Onion,63
1-2018,Pumpkin,69
1-2018,Chilies,36
1-2018,Garlic,10
1-2018,Cowpea,19
1-2018,Cardamon,14
1-2018,Radish,10
1-2018,Onion,51
1-2018,Cardamon,69
1-2018,Cardamon,46
1-2018,Potato,61
1-2018,Garlic,37
1-2018,Chilies,52
1-2018,Pumpkin,29
1-2018,Cocoa,18
1-2018,Ginger,64
1-2018,Cowpea,33
1-2018,Pumpkin,15
1-2018,Radish,62
1-2018,Onion,38
1-2018,Ginger,53
1-2018,Cocoa,30
1-2018,Ginger,22
1-2018,Cowpea,51
1-2018,Tomato,76
1-2018,Chilies,13
1-2018,Cardamon,29
1-2018,Cocoa,58
1-2018,Tomato,94
1-2018,Chilies,36
1-2018,Pumpkin,37
1-2018,Potato,25
1-2018,Chilies,16
1-2018,Ginger,32
1-2018,Radish,34
1-2018,Leak,73
1-2018,Corn,22
1-2018,Cardamon,32
1-2018,Leak,74
1-2018,Cardamon,50
1-2018,Tomato,72
1-2018,Pepper,20
1-2018,Garlic,37
1-2018,Ginger,42
1-2018,Onion,15
1-2018,Corn,51
1-2018,Potato,53
1-2018,Potato,33
1-2018,Pepper,70
1-2018,Onion,33
1-2018,Ginger,20
1-2018,Tomato,74
1-2018,Pumpkin,29
1-2018,Garlic,59
1-2018,Onion,36
1-2018,Garlic,18
1-2018,Cardamon,39
1-2018,Potato,20
1-2018,Pumpkin,18
1-2018,Pumpkin,65
1-2018,Ginger,45
1-2018,Tomato,73
1-2018,Garlic,65
1-2018,Chilies,13
1-2018,Onion,27
1-2018,Leak,77
1-2018,Leak,81
1-2018,Pumpkin,34
1-2018,Garlic,10
1-2018,Radish,65
1-2018,Radish,64
1-2018,Corn,60
1-2018,Garlic,43
1-2018,Garlic,15
1-2018,Ginger,45
1-2018,Corn,42
1-2018,Onion,18
1-2018,Leak,83
1-2018,Pepper,17
1-2018,Cowpea,70
1-2018,Garlic,52
1-2018,Potato,57
1-2018,Radish,32
1-2018,Radish,17
1-2018,Cowpea,34
1-2018,Garlic,10
1-2018,Garlic,22
1-2018,Garlic,52
1-2018,Cowpea,28
1-2018,Leak,78
1-2018,Radish,45
1-2018,Cocoa,11
1-2018,Pumpkin,68
1-2018,Ginger,41
1-2018,Chilies,42
1-2018,Radish,61
1-2018,Corn,42
1-2018,Cowpea,31
1-2018,Onion,39
1-2018,Garlic,38
1-2018,Corn,37
1-2018,Pepper,46
1-2018,Radish,26
1-2018,Ginger,21
1-2018,Chilies,68
1-2018,Cocoa,50
1-2018,Garlic,30
1-2018,Cowpea,68
1-2018,Chilies,38
1-2018,Tomato,97
1-2018,Cardamon,41
1-2018,Radish,64
1-2018,Tomato,80
1-2018,Cocoa,48
1-2018,Leak,99
1-2018,Garlic,39
1-2018,Pumpkin,37
1-2018,Chilies,64
1-2018,Potato,61
1-2018,Cocoa,17
1-2018,Potato,64
1-2018,Cardamon,51
1-2018,Tomato,86
1-2018,Pepper,67
1-2018,Radish,35
1-2018,Tomato,73
1-2018,Tomato,76
1-2018,Garlic,37
1-2018,Cardamon,20
1-2018,Tomato,71
1-2018,Corn,56
1-2018,Onion,70
1-2018,Ginger,26
1-2018,Potato,32
1-2018,Cowpea,43
1-2018,Cocoa,68
1-2018,Leak,83
1-2018,Leak,94
1-2018,Radish,25
1-2018,Radish,14
1-2018,Ginger,61
1-2018,Garlic,69
1-2018,Pumpkin,57
1-2018,Cardamon,61
1-2018,Ginger,66
1-2018,Ginger,27
1-2018,Chilies,19
1-2018,Corn,16
1-2018,Pepper,17
1-2018,Tomato,85
1-2018,Cardamon,34
1-2018,Cardamon,64
1-2018,Corn,23
1-2018,Garlic,50
1-2018,Cowpea,62
1-2018,Cowpea,66
1-2018,Garlic,29
1-2018,Ginger,28
1-2018,Pepper,35
1-2018,Garlic,12
1-2018,Cardamon,14
1-2018,Chilies,67
1-2018,Cowpea,60
1-2018,Radish,37
1-2018,Corn,25
1-2018,Cardamon,44
1-2018,Tomato,79
1-2018,Chilies,50
1-2018,Onion,42
1-2018,Cowpea,58
1-2018,Garlic,64
1-2018,Cocoa,33
1-2018,Pumpkin,37
1-2018,Pepper,59
1-2018,Cowpea,41
1-2018,Pumpkin,60
1-2018,Radish,69
1-2018,Pumpkin,27
1-2018,Potato,20
1-2018,Tomato,71
1-2018,Tomato,92
1-2018,Chilies,67
1-2018,Cocoa,48
1-2018,Radish,68
1-2018,Tomato,90
1-2018,Tomato,79
1-2018,Leak,81
1-2018,Leak,81
1-2018,Radish,66
1-2018,Cardamon,68
1-2018,Radish,29
1-2018,Leak,76
1-2018,Cardamon,54
1-2018,Onion,22
1-2018,Cowpea,16
1-2018,Leak,96
1-2018,Cocoa,38
1-2018,Chilies,12
1-2018,Onion,67
1-2018,Cocoa,25
1-2018,Cardamon,28
1-2018,Tomato,90
1-2018,Cowpea,49
1-2018,Tomato,77
1-2018,Chilies,11
1-2018,Garlic,49
1-2018,Cardamon,37
1-2018,Radish,22
1-2018,Potato,22
1-2018,Potato,50
1-2018,Onion,11
1-2018,Potato,53
1-2018,Leak,82
1-2018,Ginger,41
1-2018,Cowpea,44
1-2018,Tomato,99
1-2018,Pepper,55
1-2018,Ginger,35
1-2018,Cocoa,20
1-2018,Onion,39
1-2018,Ginger,50
1-2018,Corn,25
1-2018,Pepper,31
1-2018,Cocoa,29
1-2018,Radish,45
1-2018,Pumpkin,28
1-2018,Corn,32
1-2018,Garlic,50
1-2018,Corn,30
1-2018,Chilies,49
1-2018,Pumpkin,40
1-2018,Corn,36
1-2018,Corn,25
1-2018,Cowpea,27
1-2018,Pumpkin,41
1-2018,Cardamon,29
1-2018,Garlic,61
1-2018,Radish,36
1-2018,Cowpea,53
1-2018,Corn,58
1-2018,Ginger,29
1-2018,Pumpkin,55
1-2018,Cardamon,44
1-2018,Chilies,61
1-2018,Potato,21
1-2018,Cowpea,54
1-2018,Chilies,27
1-2018,Radish,33
1-2018,Pepper,38
1-2018,Cowpea,19
1-2018,Chilies,65
1-2018,Leak,74
1-2018,Leak,70
1-2018,Onion,23
1-2018,Leak,90
1-2018,Pumpkin,23
1-2018,Radish,43
1-2018,Potato,37
1-2018,Leak,80
1-2018,Cowpea,15
1-2018,Pepper,54
1-2018,Onion,56
1-2018,Garlic,48
1-2018,Pepper,66
1-2018,Corn,28
1-2018,Chilies,12
1-2018,Tomato,94
1-2018,Radish,53
1-2018,Pumpkin,43
1-2018,Corn,55
1-2018,Garlic,44
1-2018,Onion,28
1-2018,Ginger,38
1-2018,Radish,33
1-2018,Chilies,61
1-2018,Corn,64
1-2018,Radish,25
1-2018,Onion,30
1-2018,Cardamon,62
1-2018,Cowpea,61
1-2018,Pumpkin,15
1-2018,Cardamon,54
1-2018,Leak,77
1-2018,Chilies,43
1-2018,Pepper,35
1-2018,Radish,28
1-2018,Leak,76
1-2018,Onion,51
1-2018,Cowpea,48
1-2018,Pepper,18
1-2018,Pepper,35
1-2018,Tomato,87
1-2018,Pepper,10
1-2018,Cardamon,35
1-2018,Pepper,31
1-2018,Pepper,25
1-2018,Pumpkin,28
1-2018,Pepper,33
1-2018,Leak,89
1-2018,Pepper,13
1-2018,Chilies,39
1-2018,Chilies,44
1-2018,Potato,64
1-2018,Cardamon,62
1-2018,Cocoa,37
1-2018,Ginger,57
1-2018,Potato,20
1-2018,Cowpea,67
1-2018,Cowpea,57
1-2018,Cowpea,60
1-2018,Ginger,56
1-2018,Potato,28
1-2018,Garlic,70
1-2018,Pumpkin,68
1-2018,Chilies,15
1-2018,Corn,19
1-2018,Tomato,79
1-2018,Radish,61
1-2018,Cowpea,31
1-2018,Radish,59
1-2018,Corn,27
1-2018,Pumpkin,31
1-2018,Potato,64
1-2018,Pepper,31
1-2018,Radish,47
1-2018,Potato,58
1-2018,Onion,18
1-2018,Cardamon,63
1-2018,Potato,51
1-2018,Radish,68
1-2018,Corn,18
1-2018,Corn,49
1-2018,Leak,98
1-2018,Potato,68
1-2018,Chilies,25
1-2018,Cowpea,16
1-2018,Corn,64
1-2018,Pumpkin,63
1-2018,Ginger,20
1-2018,Leak,84
1-2018,Ginger,40
1-2018,Cardamon,29
1-2018,Ginger,44
1-2018,Potato,22
1-2018,Garlic,55
1-2018,Corn,25
1-2018,Pepper,57
1-2018,Garlic,30
1-2018,Radish,35
1-2018,Leak,75
1-2018,Cocoa,41
1-2018,Cowpea,33
